"","Name","Date","Period","School","Sport"
"63","Alexander-Pompey, Nadia ","2018-2019","Aug 2018 - Jan 2020 ","Mississippi Valley State University ","Men's Track, Outdoor "
"64","Alfonso, Egetta ","2018-2019","Aug 1998 -  ","College of the Holy Cross ","Women's Track, Outdoor "
"65","Alfonso, Egetta ","2018-2019","Aug 1998 -  ","College of the Holy Cross ","Women's Track, Indoor "
"66","Alford, Steve ","2018-2019","May 2013 - Feb 2019 ","University of California, Los Angeles ","Men's Basketball "
"67","Alford, Steve ","2018-2019","May 2019 -  ","University of Nevada, Reno ","Men's Basketball "
"68","Alford-Sullivan, Beth ","2018-2019","Jul 2014 -  ","University of Tennessee, Knoxville ","Women's Cross Country "
"69","Alford-Sullivan, Beth ","2018-2019","Jul 2014 -  ","University of Tennessee, Knoxville ","Men's Track, Indoor "
"70","Alford-Sullivan, Beth ","2018-2019","Jul 2014 -  ","University of Tennessee, Knoxville ","Women's Track, Indoor "
"71","Alford-Sullivan, Beth ","2018-2019","Jul 2014 -  ","University of Tennessee, Knoxville ","Men's Track, Outdoor "
"72","Alford-Sullivan, Beth ","2018-2019","Jul 2014 -  ","University of Tennessee, Knoxville ","Men's Cross Country "
"73","Alford-Sullivan, Beth ","2018-2019","Jul 2014 -  ","University of Tennessee, Knoxville ","Women's Track, Outdoor "
"74","Allain, Keith ","2018-2019","Aug 2006 -  ","Yale University ","Men's Ice Hockey "
"75","Allard, Jenny ","2018-2019","Aug 2003 -  ","Harvard University ","Softball "
"76","Allen, Ed ","2018-2019","Aug 2011 - Feb 2019 ","University of Alabama ","Women's Volleyball "
"77","Allen, Ed ","2018-2019","Feb 2019 -  ","Southern Illinois University at Carbondale ","Women's Volleyball "
"78","Allen, Greg ","2018-2019","Aug 2007 -  ","Vanderbilt University ","Women's Golf "
"79","Allen, Jimmy ","2018-2019","May 2016 -  ","U.S. Military Academy ","Men's Basketball "
"80","Allen, Julie ","2018-2019","Nov 2018 - Jan 2020 ","Eastern Illinois University ","Women's Volleyball "
"81","Allen, RuthAnn ","2018-2019","Aug 2019 -  ","Weber State University ","Women's Tennis "
"82","Allen, Spencer ","2018-2019","Jul 2015 -  ","Northwestern University ","Baseball "
"83","Allen, Stephanie ","2018-2019","Sep 2013 -  ","Binghamton University ","Women's Lacrosse "
"84","Allen, Tom ","2018-2019","Jan 2017 -  ","Indiana University, Bloomington ","Football "
"85","Allison, Anna ","2018-2019","Apr 2013 - Mar 2020 ","Bucknell University ","Women's Volleyball "
"86","Allison, Doug ","2018-2019","Jul 1995 -  ","Furman University ","Men's Soccer "
"87","Allister, Jessica ","2018-2019","Aug 2017 -  ","Stanford University ","Softball "
"88","Allman, Lindsay ","2018-2019","Sep 2016 -  ","Indiana State University ","Women's Volleyball "
