,School,Latitude,Longitude
326,University of Wisconsin-Madison,43.07584000000003,-89.39753999999994
327,The Ohio State University,40.00605000000007,-83.01432999999997
328,Central Michigan University,33.90070000000003,-84.45039999999995
329,James Madison University,38.44100000000003,-78.87428999999997
330,Wofford College,34.95738000000006,-81.93757999999997
331,Virginia Polytechnic Institute and State University,37.22864000000004,-80.42267999999996
332,"University at Buffalo, the State University of New York",44.601090000000056,-75.18613999999997
333,Gardner-Webb University,35.24921000000006,-81.66706999999997
334,South Dakota State University,44.320640000000026,-96.78832999999997
335,Colgate University,42.81967000000003,-75.53584999999998
336,"Rutgers, The State University of New Jersey, New Brunswick",40.48801000000003,-74.41116999999997
337,The University of North Carolina at Charlotte,35.181793138320984,-80.86889809925222
338,East Tennessee State University,36.30418000000003,-82.36685999999997
339,University of Alabama,33.214540000000056,-87.54682999999994
340,Virginia Commonwealth University,37.55108000000007,-77.45175999999998
341,Bemidji State University,47.48369000000008,-94.87494999999996
342,University of Alabama in Huntsville,34.754020000000025,-86.66002999999995
343,Pennsylvania State University,40.80709000000007,-77.85886999999997
344,Eastern Illinois University,39.484390000000076,-88.17504999999994
345,University of Memphis,35.11846000000003,-89.93957999999998
346,Indiana State University,39.468110000000024,-87.40742999999998
347,University of Louisiana Monroe,32.52831000000003,-92.07564999999994
348,DePaul University,28.03732000000008,79.13758000000007
349,Edinboro University of Pennsylvania,41.86966000000007,-80.12767999999994
350,University of Tennessee at Chattanooga,35.04380524260577,-85.30124538853387
351,Dartmouth College,43.70315000000005,-72.28940999999998
352,Mercer University,33.875440000000026,-84.26170999999994
353,Florida International University,25.75660000000005,-80.37607999999994
354,Seton Hall University,40.74196000000006,-74.24846999999994
355,Coastal Carolina University,33.79714000000007,-79.01862999999997
356,Lock Haven University of Pennsylvania,41.140570000000025,-77.46122999999994
357,George Mason University,38.83547000000004,-77.30920999999995
358,University of Hartford,41.79365000000007,-72.71645999999998
359,University of North Carolina Wilmington,34.227100000000064,-77.87926999999996
360,Davidson College,35.49929000000003,-80.84841999999998
361,Sam Houston State University,30.71284000000003,-95.55065999999994
362,University of Southern California,34.01892000000004,-118.28319999999997
363,Alabama A&M University,34.78379000000007,-86.57224999999994
364,University of Central Arkansas,35.08066000000008,-92.45478999999995
365,University of North Dakota,47.91968000000003,-97.07324999999997
366,Jacksonville University,30.351730000000032,-81.60286999999994
367,Rider University,50.327330000000075,83.45433000000008
368,Gonzaga University,47.668150000000026,-117.40318999999994
369,South Carolina State University,33.49565000000007,-80.85401999999993
370,University of North Carolina Asheville,35.614490000000046,-82.56198999999998
371,Winthrop University,34.94066000000004,-81.02974999999998
372,American International College,42.113410000000044,-72.55824999999999
373,Northern Michigan University,46.55791000000005,-87.40171999999995
374,University of North Texas,33.21126000000004,-97.14906999999994
375,U.S. Naval Academy,38.993430000000046,-76.49804999999998
376,Belmont University,36.13396000000006,-86.79527999999993
377,"University of North Carolina, Chapel Hill",35.908780000000036,-79.03005999999993
378,Ohio University,41.50563000000005,-81.60262999999998
379,Saint Francis University (Pennsylvania),40.50667000000004,-78.63898999999998
380,"University of Maryland, College Park",38.98785000000004,-76.93889999999999
381,Drexel University,39.954120000000046,-75.18690999999995
382,The University of Texas Rio Grande Valley,26.30520000000007,-98.17596999999995
383,Virginia Military Institute,37.78887000000003,-79.43972999999994
384,Abilene Christian University,32.468270000000075,-99.71152999999998
385,Cornell University,42.44635000000005,-76.48268999999993
