School,Number of Total Coaches,Number of Men Coaches,Number of Women Coaches,Percentage Men Coaches,Percentage Women Coaches
University of Akron,18,14,4,77.78,22.22
University of Alabama,21,17,4,80.95,19.05
University of Alabama at Birmingham,18,13,5,72.22,27.78
University of Alabama in Huntsville,1,1,0,100.0,0.0
University of Alaska Anchorage,2,1,1,50.0,50.0
University of Alaska Fairbanks,1,1,0,100.0,0.0
University of Arizona,21,19,2,90.48,9.52
University of Arkansas at Little Rock,14,12,2,85.71,14.29
"University of Arkansas, Fayetteville",19,15,4,78.95,21.05
"University of Arkansas, Pine Bluff",15,13,2,86.67,13.33
"University of California, Berkeley",28,13,15,46.43,53.57
"University of California, Davis",23,14,9,60.87,39.13
"University of California, Irvine",18,14,4,77.78,22.22
"University of California, Los Angeles",25,13,12,52.0,48.0
"University of California, Riverside",17,14,3,82.35,17.65
"University of California, Santa Barbara",18,14,4,77.78,22.22
University of Central Arkansas,18,14,4,77.78,22.22
University of Central Florida,16,8,8,50.0,50.0
University of Cincinnati,19,7,12,36.84,63.16
"University of Colorado, Boulder",17,13,4,76.47,23.53
University of Connecticut,24,18,6,75.0,25.0
University of Dayton,17,13,4,76.47,23.53
University of Delaware,21,12,9,57.14,42.86
University of Denver,17,14,3,82.35,17.65
University of Detroit Mercy,18,17,1,94.44,5.56
University of Evansville,17,16,1,94.12,5.88
University of Florida,21,16,5,76.19,23.81
University of Georgia,20,17,3,85.0,15.0
University of Hartford,16,7,9,43.75,56.25
"University of Hawaii, Manoa",19,15,4,78.95,21.05
University of Houston,17,15,2,88.24,11.76
University of Idaho,16,14,2,87.5,12.5
University of Illinois Chicago,18,9,9,50.0,50.0
University of Illinois Urbana-Champaign,21,15,6,71.43,28.57
University of Iowa,24,17,7,70.83,29.17
University of Kansas,18,15,3,83.33,16.67
University of Kentucky,22,20,2,90.91,9.09
University of Louisiana Monroe,17,16,1,94.12,5.88
University of Louisiana at Lafayette,15,13,2,86.67,13.33
University of Louisville,23,18,5,78.26,21.74
University of Maine,17,13,4,76.47,23.53
University of Maryland Eastern Shore,14,11,3,78.57,21.43
"University of Maryland, Baltimore County",17,13,4,76.47,23.53
"University of Maryland, College Park",20,14,6,70.0,30.0
University of Massachusetts Lowell,16,12,4,75.0,25.0
"University of Massachusetts, Amherst",21,15,6,71.43,28.57
University of Memphis,19,16,3,84.21,15.79
University of Miami (Florida),18,8,10,44.44,55.56
University of Michigan,29,21,8,72.41,27.59
University of Minnesota Duluth,2,1,1,50.0,50.0
"University of Minnesota, Twin Cities",25,15,10,60.0,40.0
University of Mississippi,17,10,7,58.82,41.18
"University of Missouri, Columbia",20,16,4,80.0,20.0
University of Missouri-Kansas City,16,6,10,37.5,62.5
University of Montana,15,12,3,80.0,20.0
University of Nebraska Omaha,14,12,2,85.71,14.29
"University of Nebraska, Lincoln",23,19,4,82.61,17.39
"University of Nevada, Las Vegas",18,10,8,55.56,44.44
"University of Nevada, Reno",15,10,5,66.67,33.33
University of New Hampshire,20,15,5,75.0,25.0
University of New Mexico,18,14,4,77.78,22.22
University of New Orleans,14,12,2,85.71,14.29
University of North Alabama,14,12,2,85.71,14.29
University of North Carolina Asheville,16,12,4,75.0,25.0
University of North Carolina Wilmington,20,15,5,75.0,25.0
"University of North Carolina, Chapel Hill",28,22,6,78.57,21.43
University of North Dakota,17,10,7,58.82,41.18
University of North Florida,19,14,5,73.68,26.32
University of North Texas,16,14,2,87.5,12.5
University of Northern Colorado,19,16,3,84.21,15.79
University of Northern Iowa,17,15,2,88.24,11.76
University of Notre Dame,26,21,5,80.77,19.23
University of Oklahoma,21,14,7,66.67,33.33
University of Oregon,19,14,5,73.68,26.32
University of Pennsylvania,28,23,5,82.14,17.86
University of Pittsburgh,18,16,2,88.89,11.11
University of Portland,16,13,3,81.25,18.75
University of Rhode Island,18,11,7,61.11,38.89
University of Richmond,17,11,6,64.71,35.29
University of San Diego,16,10,6,62.5,37.5
University of San Francisco,11,9,2,81.82,18.18
University of South Alabama,17,15,2,88.24,11.76
University of South Carolina Upstate,15,13,2,86.67,13.33
"University of South Carolina, Columbia",20,17,3,85.0,15.0
University of South Dakota,17,15,2,88.24,11.76
University of South Florida,18,12,6,66.67,33.33
University of Southern California,23,17,6,73.91,26.09
University of Tennessee at Chattanooga,15,13,2,86.67,13.33
University of Tennessee at Martin,17,14,3,82.35,17.65
